Timestamp,How would you rate the overall experience of creating AI-generated art on ArtBreeder?,How would you rate the overall experience of uploading images to ArtBreeder?,Did the website look overwhelming when you started? [Very Overwhelming],Did the website look overwhelming when you started? [Somewhat overwhelming],Did the website look overwhelming when you started? [Comfortable],Did the website look overwhelming when you started? [Very comfortable],Were there any specific technical challenges you faced while creating AI-generated art on ArtBreeder? (bullet point or paragraph form is best),How would you rate the overall experience of finding how to create your first image?,How would you rate the overall experience of finding how to create your second image?,How would you rate the overall experience of finding how to create your third image?,"In your opinion, the available tools for image creation are: [Intuitive and User-Friendly ]","In your opinion, the available tools for image creation are: [Somewhat Intuitive ]","In your opinion, the available tools for image creation are: [Not very intuitive ]","In your opinion, the available tools for image creation are: [Not User-Friendly ]","Were there any specific tools or features you found particularly useful when creating your images? [Yes, many useful features ]","Were there any specific tools or features you found particularly useful when creating your images? [Yes, some useful features ]","Were there any specific tools or features you found particularly useful when creating your images? [No, not a specific type of tools or features that was useful]",Were there any specific tools or features you found particularly useful when creating your images? [Not user-friendly],Can you explain some of the tools or features you found useful when creating your images? (bullet point or paragraph form is best),Were there any tools that you found frustrating when creating your images?,"If you said yes, can you explain which tools you found frustrating? (bullet points or paragraph form is best)",Do you have any suggestions to improve ArtBreeder? (bullet points or paragraph form is best)
11/3/2023 10:37:30,5,5,,,Column 1,,"No, there were no specific technical challenges. Different time variations of generation of images when I used the website. ",5,4,4,Column 1,Column 1,Column 1,Column 1,Column 1,,Column 1,,I found being able to delete the images after multiple generations of AI images was very helpful. ,No,,"I would look further at the website's UI, it is a little overwhelming in the information on the screen on the home page. "
11/3/2023 10:37:36,4,4,,Column 1,,,"No, a lot of it was common knowledge",4,5,5,,Column 1,,,,Column 1,,,The textbox that was used to combine text with an image was a useful tool,No,,"Make the upload image button a bit more standard and simpler, the fancy design for it is not good because it becomes slightly less recognizable."
11/3/2023 10:37:37,4,4,,,Column 1,,It was fine I just didn't know how to find the portion the input text part.,4,3,2,Column 1,Column 1,Column 1,Column 1,,Column 1,,,I really liked the different color pallets and I thought they created some cool patterns.,Yes,Yea I didn't understand how to find to input text feature,"I would just maybe add a description on the home page of how to use the app, as if I wasn't given instructions on how to use each tool. At least put it on the homepage to make it easier."
11/3/2023 10:37:47,3,5,,Column 1,,,none,4,5,5,Column 1,,,,,Column 1,,,browse & create your own buttons,Yes,options of steps and chaos,I have a picture produced somehow scary and creepy and makes me uncomfortable
11/3/2023 10:37:50,5,5,,,,Column 1,Nope no challenges,5,5,5,Column 1,,,,Column 1,,,,I like how their was a tool where you can select how many pictures you want mixer to put out. I just find that really cool and helpful if anyone wants multiple pictures to choose which one they really like.  I also like how they had 4 options of photos to choose from ranging from different categories. ,No,nope,"Nope, It seemed like a nice well formatted and easy to use app. It felt like any grade or age is able to use mixer. "
11/3/2023 10:38:09,5,5,,Column 1,,,There were no errors with generating art. ,5,4,4,,Column 1,,,Column 1,,,,"- the many different option for add an image 
- how many photos
- size of frame ",Yes,"When you add photos, there are a lot of option. it is just a bit overwhelming and wasn't sure what each option was about. ",
11/3/2023 10:38:19,3,4,,Column 1,,,It just wasn't very accurate to what I was looking for. Like in task 3 I put a prompt of black hair and a picture of my friend; all of the generated pictures had black hair but they didn't look like her at all. ,4,4,4,,Column 1,,,,Column 1,,,I liked the community pictures and prompts features because it's nice to have those as a starting point if you're just exploring the website. ,No,,Just more accuracy for the photos. 
11/3/2023 10:39:32,4,4,Column 1,,,Column 1,overall good no issues,5,5,5,Column 1,,,,Column 1,,,,Generally worked well,No,Having to upload the generated image to mix it with others was a very minor learning curve,
11/3/2023 10:39:59,5,5,Column 1,Column 1,Column 1,Column 1,none,4,5,5,Column 1,,,,Column 1,,,,I found the community images to be very useful for finding more photos since I don't have any installed. ,No,,the app is very user-friendly and helps in guiding what the purpose is for. 
11/3/2023 10:40:28,3,4,,Column 1,,,"1.selection of generation style might not be easy to understand
2.selection of generation options(community image/prompt library)might not be easy to understand for first time users
3.the generation page looks somewhat overwhelming",4,3,2,,Column 1,,,,Column 1,,,-word description -community image,No,,maybe the UI can be better
